,,,,,Immunization coverage (%) among 1-year-oldsa,,,Antenatal,,Births attended by,,Contraceptive,,Children under-5 using,,TB detection,,TB treatment,,Antiretroviral,,,,,,
,,,WHO,,Measles,DTP3,HepB3,care coverageb,,skilled health personnelb,,prevalence rateb,, insecticide-treated netsc ,,rate under DOTSd,, success under DOTSd,,therapy coveragee,,,,,,
,,Country,region,,,,,(%),year,(%),year,(%),year,(%),year,(%),year,(%),year,(%),,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2003,2003,2003,,,,,,,,,,,,, Dec 2004,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Afghanistan,EMR,,50,54,0,52,2003,14,2003,4,2000,...,...,18,2003,87,2002,...,,,,,,
2,,Albania,EUR,,93,97,97,81,2002,99,2000,15,2000,...,...,29,2003,90,2002,60,,,,,,
3,,Algeria,AFR,,84,87,0,79,2000,92,2000,50,2000,...,...,113,2003,89,2002,...,,,,,,
4,,Andorra,EUR,,96,99,84,...,...,...,...,...,...,...,...,116,2003,100,2002,>75,,,,,,
5,,Angola,AFR,,62,46,0,...,...,45,2001,5,2001,2.3,2001,118,2003,74,2002,10,,,,,,
6,,Antigua and Barbuda,AMR,,99,99,99,...,...,100,2000,…,…,...,...,45,2003,100,2002,...,,,,,,
7,,Argentina,AMR,,97,88,0,...,...,99,2001,...,...,...,...,65,2003,58,2002,90,,,,,,
8,,Armenia,EUR,,94,94,93,82,2000,97,2000,22,2000,...,...,43,2003,79,2002,0,,,,,,
9,,Australia,WPR,,93,92,95,...,...,100,1999,…,…,...,...,9,2003,78,2002,>75,,,,,,
10,,Austria,EUR,,79,84,44,...,...,…,…,47,1996,...,...,41,2002,64,2001,>75,,,,,,
11,,Azerbaijan,EUR,,98,97,98,70,2001,84,2000,12,2001,1.4,2000,28,2003,84,2002,0,,,,,,
12,,Bahamas,AMR,,90,92,88,...,...,99,2002,…,…,...,...,52,2003,59,2002,>75,,,,,,
13,,Bahrain,EMR,,100,97,98,63,1995,98,1995,31,1995,...,...,49,2003,88,2002,...,,,,,,
14,,Bangladesh,SEAR,,77,85,0,39,2000,14,2003,44,2000,...,...,33,2003,84,2002,1,,,,,,
15,,Barbados,AMR,,90,86,91,89,2001,91,1999,…,…,...,...,34,2002,...,...,64,,,,,,
16,,Belarus,EUR,,99,86,99,...,...,100,2002,42,1995,...,...,44,2003,...,...,1,,,,,,
17,,Belgium,EUR,,75,90,50,...,...,...,...,…,..,...,...,57,2003,69,2002,>75,,,,,,
18,,Belize,AMR,,96,96,96,...,...,83,1999,…,…,...,...,98,2003,85,2002,39,,,,,,
19,,Benin,AFR,,83,88,81,88,2001,66,2001,7,2001,7.4,2001,94,2003,80,2002,17,,,,,,
20,,Bhutan,SEAR,,88,95,95,...,...,24,2000,…,…,...,...,32,2003,86,2002,...,,,,,,
21,,Bolivia,AMR,,64,81,81,84,2001,65,2002,27,2000,...,...,71,2003,84,2002,19,,,,,,
22,,Bosnia and Herzegovina,EUR,,84,87,0,99,2000,100,2000,16,2000,...,...,48,2003,95,2002,33,,,,,,
23,,Botswana,AFR,,90,97,78,99,2001,94,2000,39,2000,...,...,68,2003,71,2002,50,,,,,,
24,,Brazil,AMR,,99,96,91,84,1996,88,1996,70,1996,...,...,18,2003,75,2002,86,,,,,,
25,,Brunei Darussalam,WPR,,99,99,99,...,...,99,1999,...,...,...,...,138,2003,84,2002,...,,,,,,
26,,Bulgaria,EUR,,96,96,96,...,...,...,...,25,1997,...,...,81,2003,86,2002,75,,,,,,
27,,Burkina Faso,AFR,,76,84,0,72,2003,38,2003,5,1999,1.6,2003,18,2003,64,2002,7,,,,,,
28,,Burundi,AFR,,75,74,0,93,2001,25,2000,10,2000,1.3,2000,30,2003,79,2002,9,,,,,,
29,,Cambodia,WPR,,65,69,0,44,2000,32,2000,19,2000,...,...,60,2003,92,2002,23,,,,,,
30,,Cameroon,AFR,,61,73,0,77,1998,60,2000,7,1998,1.3,2000,86,2003,70,2002,14,,,,,,
31,,Canada,AMR,,95,91,0,...,...,98,2001,73,1995,...,...,76,2003,81,2002,>75,,,,,,
32,,Cape Verde,AFR,,68,78,54,...,...,89,1998,46,1998,...,...,42,2001,...,...,...,,,,,,
33,,Central African Republic,AFR,,35,40,0,…,…,44,2000,7,2000,1.5,2000,6,2003,61,2001,1,,,,,,
34,,Chad,AFR,,61,47,0,51,1997,16,2000,2,2000,0.6,2000,11,2003,72,2002,...,,,,,,
35,,Chile,AMR,,99,99,0,...,...,100,2002,...,...,...,...,115,2003,86,2002,>75,,,,,,
36,,China,WPR,,84,90,70,...,...,97,1995,83,1997,...,...,43,2003,93,2002,7,,,,,,
37,,Colombia,AMR,,92,91,93,90,2000,86,2000,64,2000,2.8,2000,7,2003,84,2002,50,,,,,,
38,,Comoros,AFR,,63,75,27,87,1996,62,2000,19,2000,9.3,2000,37,2003,96,2002,...,,,,,,
39,,Congo,AFR,,50,50,0,...,...,...,...,...,...,...,...,57,2003,71,2002,...,,,,,,
40,,Cook Islands,WPR,,99,96,93,...,...,100,1998,60,1996,...,...,39,2002,100,2002,...,,,,,,
41,,Costa Rica,AMR,,89,88,86,...,...,98,2001,…,…,...,...,117,2003,85,2002,68,,,,,,
42,,Côte d'Ivoire ,AFR,,56,54,48,84,1999,63,2000,7,1999,1.1,2000,39,2003,67,2002,5,,,,,,
43,,Croatia,EUR,,95,94,0,...,...,100,2002,...,...,...,...,...,...,...,...,>75,,,,,,
44,,Cuba,AMR,,99,71,99,...,...,100,1999,72,2000,...,...,93,2003,92,2002,100,,,,,,
45,,Cyprus,EUR,,86,98,88,...,...,...,...,...,...,...,...,91,2003,75,2002,>75,,,,,,
46,,Czech Republic,EUR,,99,97,86,…,…,100,2002,63,1997,...,...,63,2003,73,2002,100,,,,,,
47,,Democratic People's Republic of Korea,SEAR,,95,68,0,98,2000,97,2000,…,…,...,...,91,2003,88,2002,...,,,,,,
48,,Democratic Republic of the Congo,AFR,,54,49,0,72,2001,61,2001,4,2001,0.7,2001,63,2003,78,2002,2,,,,,,
49,,Denmark,EUR,,96,96,0,...,...,…,…,…,…,...,...,75,2003,77,2002,>75,,,,,,
50,,Djibouti,EMR,,66,68,0,...,...,61,2003,...,...,...,...,53,2003,82,2002,15,,,,,,
51,,Dominica,AMR,,99,99,0,...,...,100,1999,…,…,...,...,36,2002,100,2001,...,,,,,,
52,,Dominican Republic,AMR,,79,65,81,100,1999,98,2002,63,2000,...,...,65,2003,78,2002,7,,,,,,
53,,Ecuador,AMR,,99,89,58,56,1999,69,1999,50,1999,...,...,37,2003,84,2002,34,,,,,,
54,,Egypt,EMR,,98,98,98,54,2000,69,2003,54,2000,...,...,56,2003,88,2002,...,,,,,,
55,,El Salvador,AMR,,99,88,75,...,...,90,1998,54,1998,...,...,53,2003,88,2002,32,,,,,,
56,,Equatorial Guinea,AFR,,51,33,0,...,...,65,2001,...,...,0.7,2000,86,1998,82,1997,...,,,,,,
57,,Eritrea,AFR,,84,83,83,...,...,28,2002,5,2002,4.2,2002,18,2003,82,2002,...,,,,,,
58,,Estonia,EUR,,95,94,0,...,...,100,2002,…,…,...,...,69,2003,67,2002,20,,,,,,
59,,Ethiopia,AFR,,52,56,0,27,2000,6,2000,6,2000,...,...,36,2003,76,2002,5,,,,,,
60,,Fiji,WPR,,91,94,92,...,...,100,1998,...,...,...,...,63,2003,85,2002,...,,,,,,
61,,Finland,EUR,,97,98,0,...,...,100,2002,…,…,...,...,...,...,...,...,>75,,,,,,
62,,France,EUR,,86,97,29,...,...,…,…,…,…,...,...,...,...,...,...,>75,,,,,,
63,,Gabon,AFR,,55,38,0,94,2000,86,2000,13,2000,...,...,93,2003,47,2002,29,,,,,,
64,,Gambia,AFR,,90,90,90,92,2000,55,2000,9,2000,14.7,2000,70,2003,74,2002,14,,,,,,
65,,Georgia,EUR,,73,76,49,91,1999,96,1999,20,2000,...,...,52,2003,65,2002,20,,,,,,
66,,Germany,EUR,,92,89,81,...,...,...,...,…,…,...,...,55,2003,69,2002,>75,,,,,,
67,,Ghana,AFR,,80,80,80,90,2003,47,2003,13,1998,3.5,2003,40,2003,60,2002,4,,,,,,
68,,Greece,EUR,,88,88,88,...,...,...,...,...,...,...,...,...,...,...,...,>75,,,,,,
69,,Grenada,AMR,,99,97,97,...,...,100,2000,...,...,...,...,...,...,...,...,...,,,,,,
70,,Guatemala,AMR,,75,83,0,86,1999,41,2003,31,1999,1.2,1999,44,2003,84,2002,30,,,,,,
71,,Guinea,AFR,,52,45,0,74,1999,35,1999,4,1999,...,...,51,2003,72,2002,4,,,,,,
72,,Guinea-Bissau,AFR,,61,77,0,89,2001,35,2000,4,2000,7.4,2000,55,2003,48,2002,...,,,,,,
73,,Guyana,AMR,,89,90,90,88,2000,86,2000,36,2000,...,...,31,2003,85,2002,28,,,,,,
74,,Haiti,AMR,,53,43,0,79,2000,24,2000,23,2000,...,...,46,2003,78,2002,8,,,,,,
75,,Honduras,AMR,,95,92,92,...,...,56,2001,51,2001,...,...,78,2003,87,2002,30,,,,,,
76,,Hungary,EUR,,99,99,0,...,...,...,...,…,…,...,...,41,2003,55,2002,>75,,,,,,
77,,Iceland,EUR,,93,97,0,...,...,...,...,...,...,...,...,28,2003,100,2002,>75,,,,,,
78,,India,SEAR,,67,70,0,65,1999,43,2000,43,1999,...,...,47,2003,87,2002,4,,,,,,
79,,Indonesia,SEAR,,72,70,75,97,2003,66,2003,57,2003,0.1,2000,33,2003,86,2002,24,,,,,,
80,,Iran (Islamic Republic of),EMR,,99,99,98,...,...,90,2000,56,1997,...,...,59,2003,85,2002,...,,,,,,
81,,Iraq,EMR,,90,81,70,...,...,72,2000,…,…,<0.1,2000,20,2003,91,2002,...,,,,,,
82,,Ireland,EUR,,78,85,0,...,...,100,2002,...,...,...,...,...,...,...,...,>75,,,,,,
83,,Israel,EUR,,95,97,98,...,...,…,…,…,…,...,...,55,2003,81,2002,>75,,,,,,
84,,Italy,EUR,,83,96,97,...,...,...,...,39,1996,...,...,79,2003,79,2002,>75,,,,,,
85,,Jamaica,AMR,,78,81,19,...,...,95,1997,63,1997,...,...,90,2003,49,2002,18,,,,,,
86,,Japan,WPR,,99,97,0,...,...,100,1996,...,...,...,...,40,2003,76,2002,>75,,,,,,
87,,Jordan,EMR,,96,97,97,99,2002,100,2002,39,2002,...,...,89,2003,89,2002,...,,,,,,
88,,Kazakhstan,EUR,,99,99,99,82,1999,99,1999,57,1999,...,...,86,2003,78,2002,1,,,,,,
89,,Kenya,AFR,,72,73,73,88,2003,42,2003,32,1998,4.6,2003,46,2003,79,2002,13,,,,,,
90,,Kiribati,WPR,,88,99,99,...,...,85,1998,...,...,...,...,419,2003,94,2001,...,,,,,,
91,,Kuwait,EMR,,97,99,99,83,1996,98,1995,41,1996,...,...,67,2003,55,2002,...,,,,,,
92,,Kyrgyzstan,EUR,,99,98,99,88,1997,98,1997,49,1997,...,...,57,2003,82,2002,...,,,,,,
93,,Lao People's Democratic Republic,WPR,,42,50,50,44,2001,19,2001,29,2000,14.6,2000,47,2003,78,2002,64,,,,,,
94,,Latvia,EUR,,99,98,98,...,...,100,2002,39,1995,...,...,83,2003,76,2002,>75,,,,,,
95,,Lebanon,EMR,,96,92,88,...,...,88,1996,37,1996,...,...,67,2003,91,2002,...,,,,,,
96,,Lesotho,AFR,,70,79,0,91,2001,60,2000,30,2000,...,...,70,2003,52,2002,5,,,,,,
97,,Liberia,AFR,,53,38,0,...,...,51,2000,…,…,...,...,46,1998,75,1997,...,,,,,,
98,,Libyan Arab Jamahiriya,EMR,,91,93,91,...,...,94,1995,26,1995,...,...,147,2003,61,2002,...,,,,,,
99,,Lithuania,EUR,,98,94,95,...,...,...,...,31,1995,...,...,85,2003,72,2002,30,,,,,,
100,,Luxembourg,EUR,,91,98,49,...,...,100,2002,...,...,...,...,126,2003,...,...,>75,,,,,,
101,,Madagascar,AFR,,55,55,55,91,1997,46,2000,12,2000,0.2,2000,77,2003,74,2002,0,,,,,,
102,,Malawi,AFR,,77,84,84,94,2000,61,2002,26,2000,35.5,2004,35,2003,72,2002,8,,,,,,
103,,Malaysia,WPR,,92,96,95,...,...,97,2001,…,…,...,...,69,2003,76,2002,...,,,,,,
104,,Maldives,SEAR,,96,98,98,98,2001,70,2000,...,...,...,...,106,2003,95,2002,...,,,,,,
105,,Mali,AFR,,68,69,79,53,2001,41,2001,7,2001,...,...,18,2003,50,2002,...,,,,,,
106,,Malta,EUR,,90,94,70,...,...,…,…,...,...,...,...,19,2003,60,2002,>75,,,,,,
107,,Marshall Islands,WPR,,90,68,74,...,...,95,1998,...,...,...,...,140,2003,100,2002,...,,,,,,
108,,Mauritania,AFR,,71,76,0,63,2001,57,2001,5,2000,2.1,2004,...,...,...,...,4,,,,,,
109,,Mauritius,AFR,,94,92,92,...,...,99,1999,…,…,...,...,28,2003,92,2002,...,,,,,,
110,,Mexico,AMR,,96,91,91,...,...,86,1997,60,1997,...,...,81,2003,84,2002,74,,,,,,
111,,Micronesia (Federated States of ) ,WPR,,91,92,89,...,...,93,1999,...,...,...,...,92,2003,91,2002,...,,,,,,
112,,Monaco,EUR,,99,99,99,...,...,...,...,...,...,...,...,...,...,...,...,>75,,,,,,
113,,Mongolia,WPR,,98,98,98,...,...,99,2000,54,2000,...,...,68,2003,87,2002,...,,,,,,
114,,Morocco,EMR,,90,91,90,…,…,40,1995,42,1995,...,...,83,2003,89,2002,...,,,,,,
115,,Mozambique,AFR,,77,72,72,71,1997,48,1997,5,1997,...,...,45,2003,78,2002,4,,,,,,
116,,Myanmar,SEAR,,75,77,0,...,...,56,1997,28,1997,...,...,73,2003,81,2002,3,,,,,,
117,,Namibia,AFR,,70,82,0,85,2000,76,2000,…,…,...,...,86,2003,62,2002,28,,,,,,
