,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Number of ,Adult (15–49),Number of,TB: new smear,Newborns with,Children under-5 ,,Children under-5 ,,Adults (³15) who are,,,,,Mean systolic blood pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WHO,,adults and children, rate of people ,polio casesb,positive casesc, low birth weightd,stunted for agee,, underweight for agee,,obesef,,,,,among adults (³15)g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Country,region,, living with HIVa,living with HIV (%)a,,(per 100 000 population),(%),(%),year,(%),year, (%),,,year,,(mmHg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,,Both sexes,,Males,Females,,,,Males,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2003,2003,2004,2003,2000–2002,,,,,,,,,,2002,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Afghanistan,EMR,,…,…,4,150,...,48,1997,49,1997,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Albania,EUR,,…,…,0,10,3,35,2000,14,2000,...,...,,...,,129,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Algeria,AFR,, 9 100,0.1,0,24,7,19,2002,10,2002,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Andorra,EUR,,…,...,0,8,...,...,...,...,...,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Angola,AFR,, 240 000,3.9,0,113,12,45,2001,31,2001,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Antigua and Barbuda,AMR,,…,...,0,3,8,...,...,...,...,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Argentina,AMR,, 130 000,0.7,0,20,7,12,1995–96,5,1995–96,...,...,,...,,120,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Armenia,EUR,, 2 600,0.1,0,32,7,13,2000–01,3,2000–01,...,14.1,,2000–01,j,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Australia,WPR,, 14 000,0.1,0,3,7,0,1995–96,0,1995–96,14.8,15.3,,2001,"h,i",118,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Austria,EUR,, 10 000,0.3,0,6,7,...,...,...,...,...,...,,...,,129,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Azerbaijan,EUR,, 1 400,<0.1,0,34,11,13,2001,7,2001,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Bahamas,AMR,, 5 600,3.0,0,18,7,...,...,...,...,...,...,,...,,139,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,Bahrain,EMR,,<600,0.2,0,20,8,10,1995,9,1995,23.3,34.1,,1998–99,i,125,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Bangladesh,SEAR,,…,…,0,111,30,42,2003,48,2003,...,...,,...,,117,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Barbados,AMR,, 2 500,1.5,0,5,10,…,…,…,…,...,...,,...,,124,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Belarus,EUR,,…,…,0,24,5,...,...,...,...,...,...,,...,,134,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,Belgium,EUR,, 10 000,0.2,0,6,8,...,...,...,...,10.3,11.0,,2001,h,127,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,Belize,AMR,, 3 600,2.4,0,25,6,…,…,…,…,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Benin,AFR,, 68 000,1.9,6,39,16,31,2001,23,2001,...,6.1,,2001,j,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Bhutan,SEAR,,…,…,0,50,15,40,1999,19,1999,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Bolivia,AMR,, 4 900,0.1,0,101,9,27,2003–04,8,2003–04,...,15.1,,2003,j,124,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Bosnia and Herzegovina,EUR,,  900,<0.1,0,25,4,10,2000,4,2000,16.5,25.2,,2002,i,130,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Botswana,AFR,, 350 000,37.3,1,250,10,23,2000,13,2000,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Brazil,AMR,, 660 000,0.7,0,28,10,11,1996,6,1996,8.9,13.1,, 2002–03,i,124,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Brunei Darussalam,WPR,,<200,<0.1,0,25,10,...,...,...,...,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Bulgaria,EUR,,<500,<0.1,0,20,10,...,...,...,...,...,...,,...,,132,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Burkina Faso,AFR,, 300 000,4.2,9,71,19,39,2003,38,2003,...,2.4,,2003,j,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Burundi,AFR,, 250 000,6.0,0,148,16,57,2000,45,2000,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,Cambodia,WPR,, 170 000,2.6,0,225,11,45,2000,45,2000,...,0.7,,2000,j,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Cameroon,AFR,, 560 000,6.9,13,77,11,29,1998,22,1998,...,...,,...,,125,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,Canada,AMR,, 56 000,0.3,0,2,6,...,...,...,...,15.9,13.9,,2003,"h,i",126,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,Cape Verde,AFR,,…,...,0,75,13,…,…,…,…,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Central African Republic,AFR,, 260 000,13.5,30,135,14,28,1995,23,1995,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Chad,AFR,, 200 000,4.8,24,98,17,29,2000,28,2000,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,Chile,AMR,, 26 000,0.3,0,7,5,2,2002,1,2002,19.0,25.0,,2003,i,119,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,China,WPR,, 840 000,0.1,2,46,6,14,2000,10,2000,2.4,3.4,,2002,i,121,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,Colombia,AMR,, 190 000,0.7,0,23,9,14,2000,7,2000,...,...,,...,,122,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,Comoros,AFR,,…,…,0,22,25,42,2000,25,2000,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Congo,AFR,, 90 000,4.9,0,164,...,…,…,…,…,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,Cook Islands,WPR,,…,...,0,13,3,...,...,...,...,58.6,66.3,,2003,i,129,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,Costa Rica,AMR,, 12 000,0.6,0,7,7,6,1996,5,1996,...,...,,...,,122,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,Côte d'Ivoire,AFR,, 570 000,7.0,17,170,17,25,1998–99,21,1998–99,...,5.0,,1998–99,j,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,Croatia,EUR,,<200,<0.1,0,19,6,1,1995–96,1,1995–96,21.6,22.7,,2003,i,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,Cuba,AMR,, 3 300,0.1,0,5,6,5,2000,4,2000,...,...,,...,,127,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,Cyprus,EUR,,…,…,0,2,...,...,...,...,...,...,...,,...,,128,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,Czech Republic,EUR,, 2 500,0.1,0,5,7,…,…,…,…,13.7,16.3,,2002,"h,i",130,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,Democratic People's Republic of Korea,SEAR,,…,…,0,80,7,37,2004,23,2004,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,Democratic Republic of the Congo,AFR,,1 100 000,4.2,0,160,12,38,2001,31,2001,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Denmark,EUR,, 5 000,0.2,0,4,5,...,...,...,...,...,...,,…,,122,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,Djibouti,EMR,, 9 100,2.9,0,324,...,26,1996,18,1996,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Dominica,AMR,,,...,0,7,10,...,...,...,...,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,Dominican Republic,AMR,, 88 000,1.7,0,42,11,9,2002,5,2002,12.7,18.3,,1996–98,i,126,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Ecuador,AMR,, 21 000,0.3,0,62,16,26,1998,14,1998,...,...,,...,,124,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,Egypt,EMR,, 12 000,<0.1,1,13,12,16,2003,9,2003,12.6,33.0,,1998–99,i,124,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,El Salvador,AMR,, 29 000,0.7,0,25,13,19,2002–03,10,2002–03,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,Equatorial Guinea,AFR,,…,…,0,82,13,...,...,...,...,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,Eritrea,AFR,, 60 000,2.7,0,119,21,38,2002,40,2002,...,1.6,,2002,j,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,Estonia,EUR,, 7 800,1.1,0,22,4,...,...,...,...,11.8,14.8,,2002,"h,i",131,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,Ethiopia,AFR,,1 500 000,4.4,1,155,15,52,2000,47,2000,...,0.3,,2000,j,124,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,Fiji,WPR,,  600,0.1,0,13,10,…,…,…,…,13.2,33.7,,2002,i,117,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,Finland,EUR,, 1 500,0.1,0,4,4,...,...,...,...,20.8,23.9,,2000–01,i,131,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,France,EUR,, 120 000,0.4,0,5,7,...,...,...,...,...,...,,…,,129,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,Gabon,AFR,, 48 000,8.1,0,100,14,21,2000–01,12,2000–01,...,...,,…,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,Gambia,AFR,, 6 800,1.2,0,104,17,19,2000,17,2000,…,…,,…,,131,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,Georgia,EUR,, 3 000,0.1,0,37,6,12,1999,3,1999,...,...,,...,,140,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,Germany,EUR,, 43 000,0.1,0,4,7,...,...,...,...,13.6,12.3,,2002–03,"h,i",134,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,Ghana,AFR,, 350 000,3.1,0,92,11,30,2003,22,2003,...,8.1,,2003,j,124,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,Greece,EUR,, 9 100,0.2,0,9,8,...,...,...,...,...,...,,...,,131,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,Grenada,AMR,,,...,0,2,9,...,...,...,...,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,Guatemala,AMR,, 78 000,1.1,0,33,13,49,2002,23,2002,...,...,,...,,128,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,Guinea,AFR,, 140 000,3.2,7,104,12,26,1999,23,1999,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,Guinea-Bissau,AFR,,…,…,0,87,22,31,2000,25,2000,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,Guyana,AMR,, 11 000,2.5,0,57,12,11,2000,14,2000,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,Haiti,AMR,, 280 000,5.6,0,140,21,23,2000,17,2000,...,7.8,,2000,j,126,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,Honduras,AMR,, 63 000,1.8,0,36,14,29,2001,17,2001,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,Hungary,EUR,, 2 800,0.1,0,13,9,…,…,…,…,18.4,20.4,,2000,"h,i",134,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,Iceland,EUR,,<500,0.2,0,1,4,...,...,...,...,...,...,,...,,125,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,India,SEAR,,5 100 000,0.9,136,75,30,45,1998–99,47,1998–99,0.3,0.5,,1998,i,124,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,Indonesia,SEAR,, 110 000,0.1,0,128,9,...,…,27,2002,11.1,3.6,,2001,,123,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,Iran (Islamic Republic of),EMR,, 31 000,0.1,0,13,7,15,1998,11,1998,5.6,14.2,,1999,,118,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,Iraq,EMR,,<500,<0.1,0,71,15,22,2000,16,2000,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,Ireland,EUR,, 2 800,0.1,0,5,6,...,...,...,...,14.0,12.0,,2002,"h,i",...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,Israel,EUR,, 3 000,0.1,0,4,8,...,...,...,...,19.8,25.4,,1999–01,i,128,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,Italy,EUR,, 140 000,0.5,0,3,6,…,...,…,…,...,...,,...,,129,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,Jamaica,AMR,, 22 000,1.2,0,3,9,4,1999,4,1999,...,...,,...,,121,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,Japan,WPR,, 12 000,<0.1,0,14,8,…,…,…,…,...,...,,…,,127,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,Jordan,EMR,,  600,<0.1,0,2,10,9,2002,4,2002,...,26.3,,2002,j,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,Kazakhstan,EUR,, 16 500,0.2,0,65,8,10,1999,4,1999,...,12.7,,1999,j,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,Kenya,AFR,,1 200 000,6.7,0,262,11,30,2003,20,2003,...,6.3,,2003,j,118,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,Kiribati,WPR,,…,...,0,27,5,…,…,…,…,...,...,,...,,127,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,Kuwait,EMR,,…,…,0,12,7,3,1996–97,2,1996–97,27.5,29.8,,1998–00,i,129,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,Kyrgyzstan,EUR,, 3 900,0.1,0,56,7,25,1997,11,1997,...,8.6,,1997,j,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,Lao People's Democratic Republic,WPR,, 1 700,0.1,1,71,14,42,2000,40,2000,0.7,1.6,,2000,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,Latvia,EUR,, 7 600,0.6,0,34,5,...,...,...,...,9.5,16.5,,2002,h,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,Lebanon,EMR,, 2 800,0.1,0,6,6,12,1996,3,1996,14.3,18.8,,1997,i,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,Lesotho,AFR,, 320 000,28.9,0,290,14,46,2000,18,2000,…,…,,…,,142,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,Liberia,AFR,, 100 000,5.9,0,108,...,40,1999–00,27,1999–00,...,...,,...,,131,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,Libyan Arab Jamahiriya,EMR,, 10 000,0.3,0,9,7,15,1995,5,1995,...,...,,...,,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,Lithuania,EUR,, 1 300,0.1,0,31,4,...,...,...,...,16.2,15.8,,2002,"h,i",137,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,Luxembourg,EUR,,<500,0.2,0,5,8,...,...,...,...,...,...,,…,,126,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,Madagascar,AFR,, 140 000,1.7,0,96,14,48,1997,40,1997,...,...,,...,,124,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,Malawi,AFR,, 900 000,14.2,0,183,16,49,2000,25,2000,...,2.1,,2000,j,127,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,Malaysia,WPR,, 52 000,0.4,0,47,10,16,1999,19,1999,4.0,7.6,,1996,i,118,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,Maldives,SEAR,,…,…,0,20,22,25,2001,30,2001,...,...,,...,,138,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,Mali,AFR,, 140 000,1.9,19,127,23,38,2001,33,2001,...,3.7,,2001,j,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,Malta,EUR,,<500,0.2,0,3,6,...,...,...,...,...,...,,...,,132,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
