,,figures,,,,,,,,,,,
,,,,,Life expectancy,,Healthy life expectancy (HALE),,Probability of dying per 1000 population,,Probability of dying per 1000 live births,,Maternal
,,,WHO,,at birtha,,at birthb,,between 15 and 60 yearsa,,under 5 yearsa,before 28 daysa,mortality ratioa
,,Country,region,,(years),,(years),,(adult mortality rate),,(under–5 mortality rate),(neonatal mortality rate),(per 100 000 live births)
,,,,,Males,Females,Males,Females,Males,Females,Both sexes,Both sexes,
,,,,,2003,2003,2002,2002,2003,2003,2003,2000,2000
,,,,,,,,,,,,,
1,,Afghanistan,EMR,,41,42,35,36,510,448,257,60,1 900
2,,Albania,EUR,,69,75,60,63,167,92,21,12,55
3,,Algeria,AFR,,69,72,60,62,155,125,41,20,140
4,,Andorra,EUR,,78,84,70,75,107,41,5,4,...
5,,Angola,AFR,,38,42,32,35,584,488,260,54,1 700
6,,Antigua and Barbuda,AMR,,70,75,60,64,193,122,12,8,...
7,,Argentina,AMR,,71,78,63,68,176,90,17,10,70
8,,Armenia,EUR,,65,72,59,63,240,108,33,17,55
9,,Australia,WPR,,78,83,71,74,89,51,6,3,6
10,,Austria,EUR,,76,82,69,74,115,59,6,3,5
11,,Azerbaijan,EUR,,62,68,56,59,220,120,91,36,94
12,,Bahamas,AMR,,69,75,61,66,257,146,14,10,60
13,,Bahrain,EMR,,73,75,64,64,117,81,9,11,33
14,,Bangladesh,SEAR,,63,63,55,53,251,258,69,36,380
15,,Barbados,AMR,,71,78,63,68,189,106,13,8,95
16,,Belarus,EUR,,63,75,57,65,370,130,10,5,36
17,,Belgium,EUR,,75,82,69,73,125,66,5,3,10
18,,Belize,AMR,,65,71,58,62,257,153,39,18,140
19,,Benin,AFR,,52,54,43,45,393,332,154,38,850
20,,Bhutan,SEAR,,61,64,53,53,261,202,85,38,420
21,,Bolivia,AMR,,63,67,54,55,247,180,66,27,420
22,,Bosnia and Herzegovina,EUR,,69,76,62,66,190,89,17,11,31
23,,Botswana,AFR,,37,36,36,35,850,839,112,40,100
24,,Brazil,AMR,,66,73,57,62,240,129,35,15,260
25,,Brunei Darussalam,WPR,,75,79,65,66,114,86,6,4,37
26,,Bulgaria,EUR,,69,76,63,67,216,91,15,8,32
27,,Burkina Faso,AFR,,44,46,35,36,533,462,207,36,1 000
28,,Burundi,AFR,,40,45,33,37,654,525,190,41,1 000
29,,Cambodia,WPR,,50,57,46,50,441,285,140,40,450
30,,Cameroon,AFR,,47,48,41,42,503,461,166,40,730
31,,Canada,AMR,,78,82,70,74,93,57,6,4,5
32,,Cape Verde,AFR,,67,73,59,63,213,129,35,10,150
33,,Central African Republic,AFR,,42,43,37,38,641,590,180,48,1 100
34,,Chad,AFR,,44,47,40,42,513,444,200,45,1 100
35,,Chile,AMR,,74,80,65,70,133,66,9,6,30
36,,China,WPR,,70,73,63,65,164,103,37,21,56
37,,Colombia,AMR,,68,77,58,66,231,97,21,14,130
38,,Comoros,AFR,,62,66,54,55,254,182,73,29,480
39,,Congo,AFR,,53,55,45,47,434,381,108,32,510
40,,Cook Islands,WPR,,68,74,61,63,166,112,21,12,...
41,,Costa Rica,AMR,,75,80,65,69,129,76,10,7,25
42,,Côte d'Ivoire ,AFR,,42,49,38,41,558,450,193,65,690
43,,Croatia,EUR,,71,78,64,69,173,70,7,5,10
44,,Cuba,AMR,,75,79,67,70,137,87,7,4,33
45,,Cyprus,EUR,,76,81,67,69,99,47,6,4,47
46,,Czech Republic,EUR,,72,79,66,71,166,74,5,2,9
47,,Democratic People's Republic of Korea,SEAR,,65,68,58,60,231,168,55,22,67
48,,Democratic Republic of the Congo,AFR,,42,47,35,39,578,452,205,47,990
49,,Denmark,EUR,,75,80,69,71,121,73,5,4,7
50,,Djibouti,EMR,,53,56,43,43,376,311,138,38,730
51,,Dominica,AMR,,71,76,62,66,210,118,12,7,...
52,,Dominican Republic,AMR,,65,72,57,62,250,147,35,19,150
53,,Ecuador,AMR,,68,74,60,64,212,127,27,16,130
54,,Egypt,EMR,,65,69,58,60,242,157,39,21,84
55,,El Salvador,AMR,,67,73,57,62,248,138,36,16,150
56,,Equatorial Guinea,AFR,,50,52,45,46,464,404,146,40,880
57,,Eritrea,AFR,,58,61,49,51,359,301,85,25,630
58,,Estonia,EUR,,65,77,59,69,319,114,8,6,38
59,,Ethiopia,AFR,,49,51,41,42,450,386,169,51,850
60,,Fiji,WPR,,66,71,57,61,275,173,20,9,75
61,,Finland,EUR,,75,82,69,74,134,57,4,2,5
62,,France,EUR,,76,84,69,75,132,59,5,3,17
63,,Gabon,AFR,,55,60,50,53,397,323,91,31,420
64,,Gambia,AFR,,56,59,49,51,332,262,123,46,540
65,,Georgia,EUR,,67,75,62,67,195,76,45,25,32
66,,Germany,EUR,,76,82,70,74,115,59,5,3,9
67,,Ghana,AFR,,57,60,49,50,352,295,95,27,540
68,,Greece,EUR,,76,81,69,73,118,48,6,4,10
69,,Grenada,AMR,,66,69,58,60,258,220,23,13,...
70,,Guatemala,AMR,,64,69,55,60,289,165,47,19,240
71,,Guinea,AFR,,51,53,44,46,403,342,160,48,740
72,,Guinea-Bissau,AFR,,45,48,40,42,479,405,204,48,1 100
73,,Guyana,AMR,,61,64,53,57,290,255,69,25,170
74,,Haiti,AMR,,52,54,44,44,450,385,119,34,680
75,,Honduras,AMR,,65,69,56,61,248,181,41,18,110
76,,Hungary,EUR,,68,77,62,68,257,111,9,6,11
77,,Iceland,EUR,,78,82,72,74,81,53,3,2,0
78,,India,SEAR,,60,63,53,54,283,213,87,43,540
79,,Indonesia,SEAR,,65,68,57,59,241,204,41,18,230
80,,Iran (Islamic Republic of),EMR,,67,72,56,59,201,125,39,22,76
81,,Iraq,EMR,,50,61,49,52,466,205,125,63,250
82,,Ireland,EUR,,76,81,68,72,100,60,6,4,4
83,,Israel,EUR,,78,82,71,72,92,51,6,4,13
84,,Italy,EUR,,78,84,71,75,93,47,5,3,5
85,,Jamaica,AMR,,71,74,64,66,165,123,20,10,87
86,,Japan,WPR,,78,85,72,78,96,45,4,2,10
87,,Jordan,EMR,,69,73,60,62,189,120,28,17,41
88,,Kazakhstan,EUR,,56,67,53,59,419,187,73,32,210
89,,Kenya,AFR,,50,49,44,45,495,521,123,29,1 000
90,,Kiribati,WPR,,62,67,52,56,304,191,66,27,...
91,,Kuwait,EMR,,76,79,67,67,73,53,12,6,12
92,,Kyrgyzstan,EUR,,59,68,52,58,339,160,68,31,110
93,,Lao People's Democratic Republic,WPR,,58,60,47,47,335,303,91,35,650
94,,Latvia,EUR,,66,76,58,68,306,120,13,7,61
95,,Lebanon,EMR,,68,72,59,62,199,138,31,20,150
96,,Lesotho,AFR,,35,40,30,33,912,781,84,28,550
97,,Liberia,AFR,,40,43,34,37,590,484,235,66,760
98,,Libyan Arab Jamahiriya,EMR,,71,76,62,65,172,101,16,11,97
99,,Lithuania,EUR,,66,78,59,68,302,106,9,5,19
100,,Luxembourg,EUR,,76,82,69,74,115,63,4,4,28
101,,Madagascar,AFR,,55,59,47,50,337,260,126,33,550
102,,Malawi,AFR,,41,42,35,35,652,615,178,40,1 800
103,,Malaysia,WPR,,70,75,62,65,195,108,7,5,41
104,,Maldives,SEAR,,66,64,59,57,165,146,72,37,110
105,,Mali,AFR,,44,46,38,38,486,427,220,55,1 200
106,,Malta,EUR,,76,81,70,72,84,49,6,5,...
107,,Marshall Islands,WPR,,60,63,54,56,333,280,61,26,...
108,,Mauritania,AFR,,48,53,43,46,408,312,184,70,1 000
109,,Mauritius,AFR,,69,76,60,65,218,115,17,12,24
110,,Mexico,AMR,,72,77,63,68,166,95,28,15,83
111,,Micronesia (Federated States of),WPR,,68,71,57,58,206,172,23,12,...
112,,Monaco,EUR,,78,85,71,75,110,47,4,3,...
113,,Mongolia,WPR,,62,69,53,58,310,179,68,26,110
114,,Morocco,EMR,,69,73,60,61,159,103,39,21,220
115,,Mozambique,AFR,,44,46,36,38,621,543,158,48,1 000
116,,Myanmar,SEAR,,56,63,50,54,337,222,106,40,360
117,,Namibia,AFR,,50,53,43,44,619,529,65,25,300
118,,Nauru,WPR,,58,65,53,58,448,303,30,14,...
119,,Nepal,SEAR,,60,61,53,51,290,284,82,40,740
120,,Netherlands,EUR,,76,81,70,73,93,66,6,4,16
121,,New Zealand,WPR,,77,82,70,72,98,65,6,4,7
122,,Nicaragua,AMR,,68,73,60,63,209,138,38,18,230
123,,Niger,AFR,,42,41,36,35,508,477,262,43,1 600
124,,Nigeria,AFR,,45,46,41,42,511,470,198,53,800
125,,Niue,WPR,,68,74,59,62,189,133,33,13,...
126,,Norway,EUR,,77,82,70,74,96,58,4,3,10
127,,Oman,EMR,,71,77,63,65,163,91,12,6,87
128,,Pakistan,EMR,,62,62,54,52,225,199,103,57,500
129,,Palau,WPR,,66,70,59,61,226,205,28,14,...
130,,Panama,AMR,,73,78,64,68,146,84,24,11,160
131,,Papua New Guinea,WPR,,59,62,51,52,309,246,93,32,300
132,,Paraguay,AMR,,69,75,60,64,171,119,29,16,170
133,,Peru,AMR,,68,73,60,62,193,133,34,16,410
134,,Philippines,WPR,,65,71,57,62,271,149,36,15,200
135,,Poland,EUR,,71,79,63,69,202,81,8,6,10
136,,Portugal,EUR,,74,81,67,72,150,63,6,3,8
137,,Qatar,EMR,,75,74,67,64,93,76,13,5,7
138,,Republic of Korea,WPR,,73,80,65,71,155,61,5,3,20
139,,Republic of Moldova ,EUR,,63,71,57,62,303,152,32,16,36
140,,Romania,EUR,,68,75,61,65,239,107,20,9,58
141,,Russian Federation,EUR,,58,72,53,64,480,182,16,9,65
142,,Rwanda,AFR,,43,46,36,40,541,455,203,45,1 400
143,,Saint Kitts and Nevis,AMR,,69,72,60,63,200,145,22,12,...
144,,Saint Lucia,AMR,,69,75,61,64,224,131,14,10,...
145,,Saint Vincent and the Grenadines,AMR,,68,72,60,62,233,192,22,11,...
146,,Samoa,WPR,,67,70,59,60,235,203,24,13,...
147,,San Marino,EUR,,78,84,71,76,73,32,4,2,...
148,,Sao Tome and Principe,AFR,,58,60,54,55,295,244,118,38,...
149,,Saudi Arabia,EMR,,68,74,60,63,196,119,27,12,23
150,,Senegal,AFR,,54,57,47,49,350,280,137,31,690
151,,Serbia and Montenegro,EUR,,70,75,63,65,186,99,14,9,9
152,,Seychelles,AFR,,67,77,57,65,235,92,15,9,...
153,,Sierra Leone,AFR,,37,39,27,30,597,517,283,56,2 000
154,,Singapore,WPR,,78,82,69,71,87,51,3,1,15
155,,Slovakia,EUR,,70,78,63,69,204,77,8,5,10
156,,Slovenia,EUR,,73,81,67,72,165,69,5,4,17
157,,Solomon Islands,WPR,,69,73,55,57,196,145,22,12,130
158,,Somalia,EMR,,43,45,36,38,518,431,225,49,1 100
159,,South Africa,AFR,,48,50,43,45,642,579,66,21,230
160,,Spain,EUR,,76,83,70,75,116,46,5,3,5
161,,Sri Lanka,SEAR,,68,75,59,64,235,120,15,11,92
162,,Sudan,EMR,,57,62,47,50,348,248,93,29,590
163,,Suriname,AMR,,63,69,57,61,306,180,39,18,110
164,,Swaziland,AFR,,33,36,33,35,894,790,153,38,370
165,,Sweden,EUR,,78,83,72,75,79,50,4,2,8
166,,Switzerland,EUR,,78,83,71,75,90,50,5,3,7
167,,Syrian Arab Republic,EMR,,69,74,60,63,188,126,18,9,160
168,,Tajikistan,EUR,,59,63,53,56,225,169,118,38,100
169,,Thailand,SEAR,,67,73,58,62,267,153,26,13,44
170,,The former Yugoslav Republic of Macedonia,EUR,,69,75,62,65,202,86,12,9,13
171,,Timor-Leste,SEAR,,55,61,48,52,324,228,125,40,...
172,,Togo,AFR,,50,54,44,46,448,377,140,40,570
173,,Tonga,WPR,,71,71,62,62,155,188,19,10,...
174,,Trinidad and Tobago,AMR,,67,73,60,64,249,155,20,13,110
175,,Tunisia,EMR,,70,74,61,64,167,113,24,14,120
176,,Turkey,EUR,,68,73,61,63,176,111,39,22,70
177,,Turkmenistan,EUR,,56,65,52,57,352,171,102,35,31
178,,Tuvalu,WPR,,61,62,53,53,313,274,51,22,...
179,,Uganda,AFR,,47,50,42,44,533,459,140,32,880
180,,Ukraine,EUR,,62,73,55,64,384,142,20,9,38
181,,United Arab Emirates,EMR,,72,75,64,64,168,121,8,5,54
182,,United Kingdom,EUR,,76,81,69,72,103,64,6,4,11
183,,United Republic of Tanzania,AFR,,44,46,40,41,587,550,165,43,1 500
184,,United States of America,AMR,,75,80,67,71,139,82,8,5,14
185,,Uruguay,AMR,,71,80,63,69,180,87,15,7,20
186,,Uzbekistan,EUR,,63,69,58,61,226,142,69,27,24
187,,Vanuatu,WPR,,67,69,59,59,214,173,38,19,...
188,,Venezuela,AMR,,71,77,62,67,181,97,21,12,78
189,,Viet Nam,WPR,,68,74,60,63,205,129,23,15,130
190,,Yemen,EMR,,57,61,48,51,298,227,113,37,570
191,,Zambia,AFR,,39,39,35,35,719,685,182,40,750
192,,Zimbabwe,AFR,,37,36,34,33,830,819,126,33,1 100
,,,,,,,,,,,,,
,,Region,,,,,,,,,,,
,,,,,,,,,,,,,
,,African Region,AFR,,46,48,40,42,522,466,171,43,910
,,Region of the Americas,AMR,,71,77,62,67,179,102,25,12,140
,,South-East Asia Region,SEAR,,61,64,54,55,275,212,78,38,460
,,European Region,EUR,,68,77,62,68,234,100,23,11,39
,,Eastern Mediterranean Region,EMR,,61,64,53,54,257,187,92,40,460
,,Western Pacific Region,WPR,,70,74,63,66,164,100,36,19,80
,,,,,,,,,,,,,
,,… Data not available or not applicable.,,,,,,,,,,,
,,"aThe World Health Report 2005: make every mother and child count. Geneva, World Health Organization, 2005. (http://www.who.int/whr/2005/en/index.html)",,,,,,,,,,,
,,"bThe World Health Report 2004: changing history. Geneva, World Health Organization, 2004. (http://www.who.int/whr/2004/en/report04_en.pdf)",,,,,,,,,,,